X_C_BankStatementLine;fanin;117;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;86
DisplayType;fanin;89;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;85
X_W_Store;fanin;71;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;85
Ini;fanin;35;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;83
StateEngine;fanin;26;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;83
X_AD_System;fanin;12;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;83
X_GL_DistributionLine;fanin;97;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;82
MAssignmentSlot;fanin;66;fanout;122;if;8;try;0;SQL queries;0;McCabe complexity;82
X_AD_Tab;fanin;5;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;82
CalloutInOut;fanin;0;fanout;285;if;30;try;3;SQL queries;4;McCabe complexity;82
X_GL_Journal;fanin;215;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;81
X_C_InvoiceBatchLine;fanin;80;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;81
MCash;fanin;40;fanout;276;if;18;try;7;SQL queries;3;McCabe complexity;81
ImpFormat;fanin;8;fanout;174;if;26;try;4;SQL queries;4;McCabe complexity;81
ImportInvoice;fanin;0;fanout;501;if;13;try;2;SQL queries;2;McCabe complexity;81
MWFProcess;fanin;49;fanout;134;if;17;try;3;SQL queries;1;McCabe complexity;80
X_AD_Role;fanin;28;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;80
MContainer;fanin;16;fanout;224;if;15;try;12;SQL queries;6;McCabe complexity;80
GenericElement;fanin;6;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;80
X_S_TimeExpenseLine;fanin;129;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;79
X_AD_Workflow;fanin;69;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;79
ReplenishReport;fanin;10;fanout;266;if;9;try;4;SQL queries;1;McCabe complexity;79
MLdapProcessor;fanin;10;fanout;164;if;27;try;11;SQL queries;5;McCabe complexity;79
X_AD_Table;fanin;58;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;78
X_C_RfQ;fanin;57;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;78
MSystem;fanin;8;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;78
VO;fanin;1;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;78
MMeasureCalc;fanin;23;fanout;333;if;14;try;2;SQL queries;1;McCabe complexity;77
X_C_AcctSchema;fanin;92;fanout;0;if;0;try;0;SQL queries;0;McCabe complexity;76
