Class,FanIn,FanOut,If,Try,SQL,McCabe
MDiscountSchema,8,75,9,4,2,42
X_A_Registration,8,0,0,0,0,42
SendMailText,4,91,5,4,2,42
ExpenseSOrder,4,153,11,2,1,42
PaySelectionCreateFrom,0,79,7,2,1,42
X_C_ProjectIssue,63,0,0,0,0,41
MWarehouse,41,0,0,0,0,41
X_CM_WebProject,27,0,0,0,0,41
MBankStatementLine,14,89,8,1,1,41
MWFNextCondition,8,77,2,3,0,41
th,6,0,0,0,0,41
MProductDownload,4,68,12,5,1,41
OrderPOCreate,2,123,9,4,2,41
ImportRequest,0,473,2,1,1,41
table,82,0,0,0,0,40
X_R_Status,41,0,0,0,0,40
X_R_RequestType,40,0,0,0,0,40
X_M_Product_Category_Acct,15,0,0,0,0,40
ReplicationRemote,8,80,4,1,0,40
NaturalAccountMap,5,69,3,2,0,40
UIWindow,5,0,0,0,0,40
X_AD_ImpFormat_Row,4,0,0,0,0,40
X_AD_Menu,3,0,0,0,0,40
RfQResponseRank,2,79,12,0,0,40
CommissionCalc,2,158,16,2,1,40
X_C_PaySelectionCheck,84,0,0,0,0,39
X_C_Commission,24,0,0,0,0,39
MRequisitionLine,19,114,6,0,0,39
SecureEngine,13,0,0,0,0,39
MCostQueue,10,96,12,4,2,39
FinBalance,9,90,10,0,0,39
MFactAccumulation,7,92,11,2,1,39
X_C_POS,5,0,0,0,0,39
AcctSchemaCopyAcct,4,82,0,0,0,39
MPInstance,2,0,0,0,0,39
X_AD_WF_Process,45,0,0,0,0,38
X_C_InvoiceSchedule,16,0,0,0,0,38
X_C_AcctProcessor,11,0,0,0,0,38
X_PA_Hierarchy,8,0,0,0,0,38
X_AD_WorkflowProcessor,6,0,0,0,0,38
MUserQuery,2,0,0,0,0,38
DunningPrint,1,139,21,0,0,38
X_CM_ChatEntry,19,0,0,0,0,37
BankStatementPayment,12,300,8,0,0,37
Strip,8,78,4,5,0,37
X_C_TaxDeclarationAcct,4,0,0,0,0,37
img,4,0,0,0,0,37
FinStatement,3,184,6,0,0,37
option,2,0,0,0,0,37
MCountry,1,0,0,0,0,37
WebDoc,63,117,2,0,0,36
X_M_MovementConfirm,36,0,0,0,0,36
X_PA_SLA_Goal,30,0,0,0,0,36
X_M_Warehouse,30,0,0,0,0,36
X_CM_Template,28,0,0,0,0,36
MTax,22,96,3,6,3,36
MPaymentTerm,19,108,9,2,1,36
X_C_InvoiceBatch,16,0,0,0,0,36
FactAcctReset,3,32,1,2,1,36
X_C_BPartner_Location,81,0,0,0,0,35
X_M_RequisitionLine,78,0,0,0,0,35
X_M_InOutLineConfirm,49,0,0,0,0,35
X_C_DunningRunEntry,34,0,0,0,0,35
X_M_Product_Category,24,0,0,0,0,35
X_PA_MeasureCalc,24,0,0,0,0,35
X_C_BankAccount,23,0,0,0,0,35
X_AD_Scheduler,22,0,0,0,0,35
X_AD_Session,10,0,0,0,0,35
MDocAction,10,62,10,0,0,35
MImage,10,38,3,6,0,35
X_T_DistributionRunDetail,43,0,0,0,0,34
X_PA_ColorSchema,38,0,0,0,0,34
X_M_DiscountSchema,22,0,0,0,0,34
RColumn,18,6,9,0,0,34
X_AD_AlertRule,15,0,0,0,0,34
MReturnPolicy,9,105,3,7,4,34
MBPartnerLocation,8,38,9,2,1,34
ElementAttributes,8,0,0,0,0,34
EntityTypeRegister,3,124,2,4,0,34
DistributionCreate,1,90,6,0,0,34
X_AD_Sequence,1,0,0,0,0,34
ImportConversionRate,0,160,3,2,1,34
X_M_Storage,188,0,0,0,0,33
MDocType,59,0,0,0,0,33
MConversionRate,46,0,0,0,0,33
X_PA_Report,25,0,0,0,0,33
DataStatusEvent,17,19,0,0,0,33
X_PA_GoalRestriction,11,0,0,0,0,33
MDunningRunEntry,10,69,8,4,2,33
MAttribute,5,147,7,6,3,33
form,4,0,0,0,0,33
PrintInfo,2,0,0,0,0,33
MWindow,2,0,0,0,0,33
MDataMigration,2,71,5,4,2,33
M_Element,1,0,0,0,0,33
X_C_Location,83,0,0,0,0,32
X_C_PaymentAllocate,44,0,0,0,0,32
X_M_MovementLineConfirm,33,0,0,0,0,32
MRfQResponseLineQty,30,45,7,0,0,32
X_M_BOM,23,0,0,0,0,32
MDunningRunLine,18,134,7,0,0,32
X_C_CommissionDetail,18,0,0,0,0,32
X_M_ChangeRequest,16,0,0,0,0,32
MTableIndex,12,82,4,6,3,32
X_AD_WF_NextCondition,11,0,0,0,0,32
CacheMgt,10,0,0,0,0,32
X_AD_Note,9,0,0,0,0,32
