X_M_InOutLineConfirm	PO	4.0
MScheduler	MPInstance	2.0
ValidateOrg	X_AD_Org	2.0
X_AD_LoginMsgLog	PO	4.0
MPeriodControl	X_C_PeriodControl	13.0
MDataMigrationEntry	X_AD_DataMigration	1.0
ImportOrder	PO	17.0
InvoiceWriteOff	ProcessInfo	2.0
UITabVOFactory	UITabVOFT	4.0
MAsset	MAttributeSetInstance	1.0
MBPGroup	DB	2.0
MPeriod	MAcctSchema	3.0
Tax	Msg	6.0
MOrder	X_M_PriceList	2.0
MRequisitionLine	X_M_Requisition	3.0
MOrderLine	MRole	2.0
MInOutLine	X_M_InOut	13.0
MInvoice	X_C_DocTypeCounter	6.0
MSLAMeasure	X_PA_SLA_Measure	18.0
MAcctProcessor	CLogger	2.0
MClick	MClick	5.0
MSetup	MBPGroup	1.0
MMailMsg	X_W_MailMsg	11.0
ViewImportFromDB	Env	2.0
CalloutRequisition	CLogger	2.0
MScheduler	MAttachment	6.0
MWFEventAudit	MWFNode	2.0
X_AD_UserBPAccess	PO	4.0
MRequestCategory	X_R_Category	4.0
ReplicationLocal	PO	5.0
MAttributeSetInstance	X_M_Lot	5.0
X_CM_NewsItem	PO	4.0
MBOMProduct	X_M_BOMProduct	34.0
MStore	PO	19.0
CalloutInOut	X_M_Product	1.0
MStorage	X_M_Locator	2.0
RequestInvoice	MInvoice	6.0
UserPassword	Util	6.0
EntityTypeRegister	MEntityType	1.0
TabCopy	ProcessInfoParameter	2.0
MOrder	MOrder	118.0
MInOut	ReportEngine	1.0
CommissionCopy	ProcessInfoParameter	2.0
DunningPrint	MUserMail	1.0
MInvoiceTax	DB	2.0
MInvoice	X_C_InvoiceBatchLine	14.0
PaymentTermValidate	ProcessInfoParameter	1.0
MWFNode	X_AD_Column	2.0
AcctSchemaDefaultCopy	X_C_AcctSchema_Default	58.0
X_M_Product_PO	PO	4.0
MInventory	X_M_Transaction	4.0
MJournal	ModelValidationEngine	2.0
TranslationMgr	Compiere	1.0
MOrder	X_M_InOutLine	11.0
CalloutPaymentAllocate	MInvoice	1.0
MLoginMsgLog	PO	3.0
MWFNodeNext	MWFNodeNext	5.0
CopyFromProject	SvrProcess	8.0
MProductPricing	PO	1.0
MTaxDeclarationAcct	X_C_TaxDeclaration	1.0
MOrderLine	MProductPricing	38.0
TrialBalance	X_C_Period	3.0
X_PA_ReportLine	PO	4.0
MInterestArea	MInterestArea	2.0
OrderBatchProcess	OrderBatchProcess	1.0
MUOMConversion	X_C_UOM_Conversion	35.0
MInvoice	ReportEngine	1.0
InvoicePrint	MUserMail	1.0
MJournalBatch	PO	47.0
BPartnerOrgLink	MOrg	1.0
MOrder	X_AD_Role	1.0
MInventory	MPeriod	2.0
X_C_BankStatementLoader	PO	4.0
MRfQLineQty	MUOM	3.0
MResource	X_S_Resource	10.0
MInvoice	X_M_Product	5.0
MChangeRequest	CLogger	1.0
MRfQResponseLine	MRfQResponseLine	2.0
TranslationHandler	Language	1.0
InOutCreateInvoice	ProcessInfoParameter	3.0
MInOutLineConfirm	MInOutLine	5.0
WFActivityManage	MWFActivity	5.0
ProjectIssue	MInOut	2.0
X_AD_PInstance	PO	4.0
Tax	Env	4.0
MOrder	X_C_OrderTax	8.0
MPayment	ChangeVO	1.0
WorkflowMoveToClient	CompiereSystemException	5.0
MInvoiceLine	X_C_Lead	13.0
ImportConversionRate	ProcessInfoParameter	7.0
MPaySelectionCheck	PO	31.0
MOrder	MRole	1.0
EntityTypeRegister	HttpMethodBase	4.0
ViewImportFromDB	PO	8.0
MWorkflow	Compiere	1.0
RModelData	CLogger	2.0
MStore	Env	1.0
MProductPricing	Env	1.0
CostUpdate	X_M_CostElement	3.0
MLdapProcessor	CLogger	2.0
MCash	MCash	29.0
MInOutLine	PO	43.0
CopyFromOrder	ProcessInfoParameter	2.0
ImportOrder	X_C_BPartner	3.0
InOutGenerate	MInOutLine	15.0
X_PA_ReportSource	PO	4.0
RequisitionPOCreate	X_M_Requisition	3.0
CalloutOrder	Ctx	36.0
MCommissionAmt	X_C_CommissionRun	2.0
MPaySelectionLine	CLogger	2.0
DistributionRun	MDistributionRun	4.0
SchedulerRun	SvrProcess	8.0
WebUtil	tr	3.0
GridField	Lookup	14.0
GridWindow	a	6.0
MSerNoCtl	X_M_SerNoCtl	13.0
PP_PayPal	PP_PayPal	3.0
PaySelectionCreateCheck	MPaySelection	1.0
MInvoice	X_M_BOMProduct	3.0
ExpenseAPInvoice	X_S_TimeExpenseLine	20.0
MPeriod	MPeriodControl	4.0
X_M_Production	PO	4.0
MCStageElement	PO	3.0
CalloutInvoice	Ini	1.0
MCommissionRun	X_C_CommissionRun	10.0
MTaxDeclarationAcct	X_Fact_Acct	2.0
MMovement	MStorage	4.0
MergeProcess	MInvoice	1.0
MPayment	MAllocationHdr	7.0
MRequest	Util	1.0
MJournal	X_AD_Org	2.0
X_C_BPartner_Location	PO	4.0
MPayment	MPaymentValidate	10.0
ImportConversionRate	PO	3.0
MPayment	Env	1.0
MNewsChannel	MIndex	1.0
MCostDetail	CLogger	2.0
X_M_DistributionListLine	PO	4.0
X_A_Asset	PO	4.0
VolumeTest	MOrder	4.0
h1	MultiPartElement	4.0
MAccessProfile	X_CM_AccessProfile	4.0
MAsset	Util	1.0
PaySelectionCreateFrom	MPaySelectionLine	2.0
AssetDelivery	AssetDelivery	1.0
RfQResponseRank	ProcessInfoParameter	1.0
ExpenseSOrder	MProject	3.0
DunningRunCreate	MDunningLevel	3.0
WebSessionCtx	MClient	2.0
MProjectType	DB	4.0
MAlertProcessor	CompiereProcessor	4.0
MAlertRule	X_AD_AlertRule	17.0
ReplicationRemote	MSystem	4.0
PaymentTermValidate	PO	1.0
MAllocationHdr	MPayment	1.0
ViewImport	SvrProcess	6.0
PaymentProcessor	CLogger	4.0
ImportAccount	MAcctSchema	5.0
ProjectGenPO	X_C_OrderLine	2.0
MPaySelectionCheck	Msg	1.0
